# #runID ohdu lambdaBGbin
6357 10 0.061573
6357 13 0.177297
6357 14 0.155810
6357 15 0.027279
6358 2 0.193316
6358 3 0.182456
6358 4 0.195453
6358 5 0.235022
6358 6 0.219358
6358 7 0.153060
6358 8 0.210739
6358 9 0.144185
6358 10 0.080805
6358 13 0.155382
6358 14 0.157994
6358 15 0.023133
6359 2 0.207507
6359 3 0.172654
6359 4 0.197923
6359 5 0.228182
6359 6 0.210369
6359 7 0.144635
6359 8 0.223542
6359 9 0.176947
6359 10 0.080617
6359 13 0.182167
6359 14 0.167278
6359 15 0.013221
6360 2 0.212644
6360 3 0.181454
6360 4 0.155189
6360 5 0.220226
6360 6 0.244019
6360 7 0.142042
6360 8 0.228921
6360 9 0.169787
6360 10 0.073989
6360 13 0.154934
6360 14 0.162367
6360 15 0.027749
6361 2 0.223323
6361 3 0.183285
6361 4 0.183604
6361 5 0.235442
6361 6 0.199361
6361 7 0.166589
6361 8 0.211834
6361 9 0.136792
6361 10 0.061656
6361 13 0.162192
6361 14 0.147420
6361 15 0.030605
6362 2 0.230284
6362 3 0.197698
6362 4 0.189927
6362 5 0.180120
6362 6 0.217627
6362 7 0.160642
6362 8 0.222391
6362 9 0.169258
6362 10 0.084249
6362 13 0.164716
6362 14 0.158665
6362 15 0.022315
6363 2 0.203253
6363 3 0.171756
6363 4 0.195826
6363 5 0.232307
6363 6 0.200317
6363 7 0.142825
6363 8 0.222262
6363 9 0.163864
6363 10 0.057296
6363 13 0.146453
6363 14 0.140324
6363 15 0.016846
6364 2 0.203681
6364 3 0.173142
6364 4 0.193002
6364 5 0.231432
6364 6 0.260984
6364 7 0.167352
6364 8 0.213315
6364 9 0.175049
6364 10 0.083998
6364 13 0.184472
6364 14 0.168724
6364 15 0.018881
6365 2 0.211022
6365 3 0.176200
6365 4 0.186590
6365 5 0.221977
6365 6 0.204976
6365 7 0.159907
6365 8 0.217864
6365 9 0.180605
6365 10 0.066413
6365 13 0.150021
6365 14 0.158715
6365 15 0.022214
6366 2 0.227217
6366 3 0.176355
6366 4 0.199965
6366 5 0.233012
6366 6 0.265916
6366 7 0.164569
6366 8 0.218026
6366 9 0.178950
6366 10 0.077263
6366 13 0.153874
6366 14 0.146649
6366 15 0.026587
6367 2 0.210812
6367 3 0.187343
6367 4 0.194666
6367 5 0.224800
6367 6 0.252883
6367 7 0.153012
6367 8 0.232651
6367 9 0.177165
6367 10 0.061474
6367 13 0.159419
6367 14 0.147364
6367 15 0.017824
6368 2 0.221645
6368 3 0.192655
6368 4 0.176042
6368 5 0.225528
6368 6 0.205850
6368 7 0.159861
6368 8 0.216246
6368 9 0.151462
6368 10 0.080434
6368 13 0.174899
6368 14 0.174610
6368 15 0.020434
6369 2 0.185502
6369 3 0.187708
6369 4 0.196053
6369 5 0.235115
6369 6 0.252997
6369 7 0.150236
6369 8 0.227917
6369 9 0.166852
6369 10 0.077228
6369 13 0.168863
6369 14 0.170055
6369 15 0.029440
6370 2 0.239824
6370 3 0.172339
6370 4 0.186381
6370 5 0.227592
6370 6 0.207010
6370 7 0.135658
6370 8 0.224494
6370 9 0.171581
6370 10 0.079229
6370 13 0.170306
6370 14 0.135527
6370 15 0.035970
6371 2 0.197199
6371 3 0.191357
6371 4 0.171734
6371 5 0.225454
6371 6 0.239074
6371 7 0.159753
6371 8 0.217075
6371 9 0.181019
6371 10 0.086146
6371 13 0.167866
6371 14 0.152997
6371 15 0.026331
6372 2 0.244909
6372 3 0.166536
6372 4 0.172467
6372 5 0.228927
6372 6 0.201434
6372 7 0.137814
6372 8 0.209104
6372 9 0.164719
6372 10 0.071802
6372 13 0.179615
6372 14 0.151642
6372 15 0.029012
6373 2 0.211560
6373 3 0.188071
6373 4 0.183684
6373 5 0.247190
6373 6 0.228972
6373 7 0.145708
6373 8 0.239470
6373 9 0.184700
6373 10 0.088783
6373 13 0.162426
6373 14 0.164818
6373 15 0.038292
6374 2 0.199462
6374 3 0.186297
6374 4 0.169990
6374 5 0.222562
6374 6 0.298008
6374 7 0.151058
6374 8 0.236520
6374 9 0.152766
6374 10 0.077506
6374 13 0.168284
6374 14 0.156473
6374 15 0.024633
6375 2 0.201896
6375 3 0.191502
6375 4 0.190597
6375 5 0.228585
6375 6 0.285799
6375 7 0.154547
6375 8 0.237376
6375 9 0.170215
6375 10 0.086764
6375 13 0.172980
6375 14 0.159236
6375 15 0.021678
6376 2 0.207681
6376 3 0.186832
6376 4 0.187758
6376 5 0.207955
6376 6 0.241345
6376 7 0.150086
6376 8 0.210522
6376 9 0.184374
6376 10 0.085968
6376 13 0.151772
6376 14 0.138308
6376 15 0.036631
6377 2 0.215310
6377 3 0.187080
6377 4 0.179914
6377 5 0.219658
6377 6 0.209975
6377 7 0.137705
6377 8 0.232991
6377 9 0.151072
6377 10 0.086964
6377 13 0.171453
6377 14 0.158510
6377 15 0.018942
6378 2 0.209986
6378 3 0.175482
6378 4 0.207775
6378 5 0.183188
6378 6 0.213849
6378 7 0.162984
6378 8 0.221645
6378 9 0.173858
6378 10 0.079399
6378 13 0.189428
6378 14 0.133333
6378 15 0.020059
6379 2 0.214721
6379 3 0.182789
6379 4 0.180339
6379 5 0.208664
6379 6 0.173670
6379 7 0.173686
6379 8 0.194850
6379 9 0.170714
6379 10 0.095000
6379 13 0.169727
6379 14 0.158477
6379 15 0.021185
6380 2 0.216515
6380 3 0.175795
6380 4 0.199107
6380 5 0.220418
6380 6 0.225274
6380 7 0.136412
6380 8 0.202218
6380 9 0.192722
6380 10 0.088173
6380 13 0.152820
6380 14 0.135501
6380 15 0.034358
6381 2 0.210861
6381 3 0.184256
6381 4 0.168410
6381 5 0.211657
6381 6 0.261684
6381 7 0.180263
6381 8 0.214525
6381 9 0.152333
6381 10 0.071224
6381 13 0.178824
6381 14 0.130621
6381 15 0.030174
6382 2 0.213208
6382 3 0.176807
6382 4 0.197639
6382 5 0.215545
6382 6 0.214975
6382 7 0.172336
6382 8 0.224649
6382 9 0.170081
6382 10 0.071637
6382 13 0.157311
6382 14 0.167137
6382 15 0.035054
6383 2 0.222242
6383 3 0.189234
6383 4 0.210848
6383 5 0.236333
6383 6 0.208265
6383 7 0.153324
6383 8 0.214564
6383 9 0.165873
6383 10 0.067168
6383 13 0.172436
6383 14 0.146733
6383 15 0.014262
6384 2 0.197651
6384 3 0.185828
6384 4 0.160149
6384 5 0.216374
6384 6 0.237960
6384 7 0.163394
6384 8 0.232296
6384 9 0.157752
6384 10 0.077017
6384 13 0.165443
6384 14 0.151727
6384 15 0.038889
6385 2 0.217081
6385 3 0.194157
6385 4 0.192769
6385 5 0.206979
6385 6 0.238166
6385 7 0.140318
6385 8 0.207598
6385 9 0.165962
6385 10 0.077012
6385 13 0.173356
6385 14 0.153114
6385 15 0.036208
6386 2 0.207819
6386 3 0.176292
6386 4 0.186312
6386 5 0.221222
6386 6 0.225298
6386 7 0.178234
6386 8 0.225923
6386 9 0.174875
6386 10 0.063811
6386 13 0.169246
6386 14 0.169603
6386 15 0.026222
6387 2 0.201757
6387 3 0.181845
6387 4 0.217433
6387 5 0.212264
6387 6 0.217382
6387 7 0.158149
6387 8 0.218581
6387 9 0.177065
6387 10 0.088102
6387 13 0.171113
6387 14 0.155451
6387 15 0.024154
6388 2 0.208687
6388 3 0.160585
6388 4 0.198991
6388 5 0.217217
6388 6 0.254879
6388 7 0.150949
6388 8 0.230642
6388 9 0.175494
6388 10 0.059786
6388 13 0.166331
6388 14 0.151083
6388 15 0.031237
6389 2 0.201647
6389 3 0.181708
6389 4 0.188219
6389 5 0.231715
6389 6 0.269091
6389 7 0.144410
6389 8 0.221859
6389 9 0.189205
6389 10 0.073709
6389 13 0.157678
6389 14 0.145602
6389 15 0.088532
6390 2 0.234087
6390 3 0.180370
6390 4 0.176801
6390 5 0.221917
6390 6 0.232379
6390 7 0.161832
6390 8 0.218009
6390 9 0.181141
6390 10 0.102953
6390 13 0.173098
6390 14 0.163333
6390 15 0.013018
6391 2 0.211746
6391 3 0.194487
6391 4 0.196805
6391 5 0.218651
6391 6 0.252552
6391 7 0.138504
6391 8 0.244972
6391 9 0.170583
6391 10 0.074968
6391 13 0.178758
6391 14 0.148087
6391 15 0.022851
6392 2 0.214918
6392 3 0.195959
6392 4 0.196036
6392 5 0.240919
6392 6 0.236652
6392 7 0.177492
6392 8 0.237719
6392 9 0.180769
6392 10 0.070926
6392 13 0.174867
6392 14 0.144322
6392 15 0.034978
6393 2 0.234125
6393 3 0.194941
6393 4 0.197897
6393 5 0.219888
6393 6 0.215180
6393 7 0.142916
6393 8 0.232431
6393 9 0.148651
6393 10 0.088188
6393 13 0.154677
6393 14 0.152320
6393 15 0.024425
6394 2 0.207423
6394 3 0.175230
6394 4 0.209155
6394 5 0.216958
