# #runID ohdu sigmaOSMAD2
10042 2 14.115086
10042 3 46.339444
10042 4 46.098650
10042 5 43.672556
10042 6 16.378493
10042 7 44.030019
10042 8 45.330184
10042 9 14.137509
10042 10 14.521070
10042 11 26.869943
10042 12 29.947455
10042 13 16.760755
10042 14 12.928681
10042 15 23.899845
10041 2 14.813964
10041 3 47.645732
10041 4 46.216552
10041 5 45.113316
10041 6 16.482414
10041 7 44.040926
10041 8 45.162538
10041 9 14.019393
10041 10 13.764385
10041 11 26.930773
10041 12 30.692084
10041 13 14.172376
10041 14 13.259875
10041 15 11.985435
10040 2 14.143643
10040 3 46.497708
10040 4 46.392223
10040 5 45.033409
10040 6 16.547640
10040 7 44.842449
10040 8 45.756851
10040 9 13.812598
10040 10 13.747945
10040 11 26.950734
10040 12 28.654771
10040 13 14.158984
10040 14 13.140607
10040 15 13.692654
10039 2 14.305364
10039 3 46.961406
10039 4 46.177090
10039 5 44.718854
10039 6 16.525382
10039 7 43.828552
10039 8 45.158515
10039 9 14.483099
10039 10 13.516702
10039 11 27.023018
10039 12 30.313053
10039 13 14.186480
10039 14 12.814770
10039 15 13.099206
10038 2 14.640421
10038 3 46.714220
10038 4 46.234421
10038 5 44.688585
10038 6 16.335968
10038 7 43.525217
10038 8 45.074181
10038 9 13.814313
10038 10 13.463731
10038 11 27.186905
10038 12 29.343121
10038 13 17.291136
10038 14 13.387978
10038 15 18.100355
10037 2 14.239797
10037 3 46.076165
10037 4 46.116266
10037 5 44.874876
10037 6 16.455949
10037 7 44.605253
10037 8 45.126248
10037 9 13.788027
10037 10 13.631728
10037 11 26.946706
10037 12 29.250309
10037 13 13.783700
10037 14 12.781149
10037 15 12.507854
10036 2 14.709078
10036 3 46.683434
10036 4 46.092189
10036 5 44.339308
10036 6 16.149592
10036 7 43.254727
10036 8 44.722800
10036 9 13.778972
10036 10 13.544954
10036 11 27.132994
10036 12 28.805292
10036 13 17.385084
10036 14 13.942542
10036 15 14.539492
10035 2 14.713584
10035 3 46.802608
10035 4 46.711293
10035 5 44.189173
10035 6 16.186728
10035 7 43.435652
10035 8 44.962726
10035 9 13.945368
10035 10 13.466696
10035 11 27.132514
10035 12 28.384788
10035 13 14.318572
10035 14 13.173300
10035 15 12.623183
10034 2 14.642577
10034 3 46.892058
10034 4 46.607347
10034 5 44.175593
10034 6 16.210877
10034 7 43.542913
10034 8 45.046098
10034 9 13.903935
10034 10 13.528607
10034 11 27.074677
10034 12 29.087345
10034 13 17.625844
10034 14 13.981495
10034 15 21.948347
10033 2 15.036867
10033 3 47.225665
10033 4 47.319297
10033 5 44.085176
10033 6 16.514407
10033 7 43.739198
10033 8 45.228300
10033 9 13.832698
10033 10 14.044869
10033 11 27.055692
10033 12 29.235546
10033 13 13.699187
10033 14 12.983629
10033 15 12.451055
10032 2 14.388861
10032 3 46.217935
10032 4 46.956850
10032 5 44.079350
10032 6 16.610985
10032 7 43.826910
10032 8 45.290494
10032 9 14.285054
10032 10 14.263925
10032 11 26.988588
10032 12 30.106977
10032 13 13.669546
10032 14 12.811687
10032 15 15.441318
10031 2 14.694747
10031 3 46.329402
10031 4 47.013662
10031 5 44.485488
10031 6 16.346429
10031 7 43.312092
10031 8 45.104119
10031 9 13.799361
10031 10 14.079884
10031 11 26.913694
10031 12 28.137027
10031 13 15.631290
10031 14 13.421795
10031 15 14.290505
10030 2 14.308937
10030 3 46.261578
10030 4 46.984445
10030 5 43.612327
10030 6 16.305508
10030 7 43.295674
10030 8 45.159577
10030 9 13.832564
10030 10 14.975799
10030 11 26.961333
10030 12 31.556400
10030 13 15.228823
10030 14 13.245016
10030 15 23.087509
10029 2 14.734233
10029 3 46.988180
10029 4 46.824247
10029 5 44.393011
10029 6 16.074027
10029 7 43.450665
10029 8 50.220334
10029 9 13.878528
10029 10 13.937359
10029 11 27.084242
10029 12 30.233475
10029 13 21.521448
10029 14 13.216350
10029 15 19.055659
10028 2 14.207181
10028 3 46.110021
10028 4 47.259318
10028 5 44.204667
10028 6 16.171352
10028 7 43.339422
10028 8 44.766612
10028 9 14.095530
10028 10 14.123968
10028 11 26.802689
10028 12 30.070530
10028 13 14.056395
10028 14 12.850385
10028 15 12.327396
10027 2 15.559489
10027 3 47.149297
10027 4 46.712212
10027 5 45.706573
10027 6 16.026101
10027 7 42.850856
10027 8 45.457621
10027 9 14.462675
10027 10 13.606233
10027 11 27.054577
10027 12 30.644884
10027 13 15.482883
10027 14 12.882337
10027 15 12.054301
10026 2 14.852476
10026 3 47.236749
10026 4 46.447657
10026 5 45.376282
10026 6 15.979983
10026 7 42.987956
10026 8 45.140476
10026 9 13.889824
10026 10 13.571062
10026 11 26.925310
10026 12 29.768751
10026 13 13.832684
10026 14 13.025184
10026 15 12.092944
10025 2 14.239120
10025 3 46.361056
10025 4 46.838090
10025 5 43.645415
10025 6 16.539703
10025 7 43.383099
10025 8 45.134833
10025 9 14.351661
10025 10 14.053980
10025 11 26.883467
10025 12 30.059079
10025 13 13.823254
10025 14 12.958495
10025 15 12.205386
10024 2 14.207877
10024 3 46.142217
10024 4 46.647324
10024 5 43.429024
10024 6 16.934751
10024 7 43.490158
10024 8 45.202877
10024 9 14.420623
10024 10 14.066870
10024 11 26.779239
10024 12 29.398633
10024 13 14.002491
10024 14 13.160306
10024 15 12.083532
10023 2 14.255490
10023 3 46.191600
10023 4 46.546983
10023 5 43.945464
10023 6 16.684691
10023 7 43.676678
10023 8 46.495185
10023 9 15.086289
10023 10 13.791049
10023 11 26.865119
10023 12 28.740248
10023 13 14.200469
10023 14 12.863499
10023 15 12.802301
10022 2 14.628703
10022 3 46.160015
10022 4 47.502180
10022 5 43.834880
10022 6 16.325334
10022 7 43.901424
10022 8 46.398027
10022 9 14.184598
10022 10 13.435269
10022 11 26.860026
10022 12 30.163708
10022 13 13.723790
10022 14 13.748112
10022 15 13.446677
10021 2 16.354638
10021 3 47.910701
10021 4 47.313252
10021 5 44.563398
10021 6 16.100070
10021 7 42.948913
10021 8 46.291542
10021 9 13.912999
10021 10 13.550227
10021 11 26.846959
10021 12 30.551963
10021 13 14.690851
10021 14 13.719088
10021 15 14.793510
10020 2 14.784913
10020 3 46.210106
10020 4 47.315925
10020 5 44.002034
10020 6 16.137172
10020 7 43.171954
10020 8 44.796512
10020 9 14.676038
10020 10 13.453897
10020 11 26.850142
10020 12 29.143092
10020 13 13.899291
10020 14 13.693354
10020 15 13.757180
10019 2 14.737930
10019 3 46.172364
10019 4 46.705959
10019 5 44.391345
10019 6 16.152557
10019 7 43.563726
10019 8 44.939127
10019 9 14.246570
10019 10 13.472809
10019 11 26.945344
10019 12 29.515444
10019 13 13.762820
10019 14 14.414190
10019 15 12.636877
10018 2 15.133994
10018 3 46.786571
10018 4 46.589872
10018 5 44.582761
10018 6 16.055840
10018 7 43.214790
10018 8 45.870958
10018 9 14.286490
10018 10 13.648064
10018 11 26.835031
10018 12 30.320923
10018 13 14.752837
10018 14 13.786782
10018 15 12.052050
10017 2 14.884983
10017 3 46.613868
10017 4 46.815173
10017 5 44.598666
10017 6 16.281922
10017 7 44.010432
10017 8 44.858305
10017 9 14.140964
10017 10 13.705488
10017 11 26.823744
10017 12 29.516417
10017 13 14.544063
10017 14 13.602072
10017 15 12.314017
10016 2 14.709989
10016 3 46.583383
10016 4 47.266076
10016 5 44.590853
10016 6 16.143262
10016 7 44.136882
10016 8 45.889745
10016 9 15.166021
10016 10 13.644648
10016 11 26.929516
10016 12 29.627928
10016 13 14.233566
10016 14 13.418598
10016 15 17.105938
10015 2 14.295437
10015 3 46.269704
10015 4 46.582423
10015 5 43.491409
10015 6 16.217108
10015 7 44.175756
10015 8 45.605577
10015 9 15.463113
10015 10 13.662102
10015 11 26.942186
10015 12 28.667903
10015 13 14.154073
10015 14 13.027741
10015 15 12.099234
10014 2 15.492945
10014 3 46.529578
10014 4 46.495304
10014 5 44.386785
10014 6 16.232902
10014 7 43.358645
10014 8 45.019648
10014 9 14.268569
10014 10 13.579178
10014 11 27.108808
10014 12 29.873468
10014 13 13.679202
10014 14 13.248944
10014 15 12.356838
10013 2 14.265336
10013 3 46.242715
10013 4 47.142480
10013 5 43.571723
10013 6 16.231343
10013 7 43.846974
10013 8 45.222336
10013 9 14.544063
10013 10 13.688381
10013 11 26.888666
10013 12 30.745411
10013 13 14.337552
10013 14 13.480940
10013 15 12.287140
10012 2 14.509978
10012 3 46.499385
10012 4 46.762632
10012 5 43.373047
10012 6 16.428869
10012 7 43.573957
10012 8 46.954115
10012 9 14.403341
10012 10 13.671338
10012 11 26.908931
10012 12 29.107513
10012 13 14.467657
10012 14 13.378502
10012 15 17.613363
10011 2 14.608701
10011 3 46.320499
10011 4 46.900966
10011 5 43.711578
10011 6 16.360632
10011 7 43.111736
10011 8 45.746751
10011 9 15.189191
10011 10 13.544576
10011 11 26.986271
10011 12 29.440000
10011 13 14.249796
10011 14 13.360054
10011 15 31.333606
10010 2 14.633948
10010 3 46.380853
10010 4 47.193560
10010 5 43.787327
10010 6 16.429694
10010 7 44.139244
10010 8 45.271156
10010 9 15.963580
10010 10 13.456161
10010 11 27.009650
10010 12 30.353618
10010 13 14.211244
10010 14 13.468021
10010 15 12.858286
10009 2 14.600277
10009 3 46.242778
10009 4 46.702146
10009 5 43.919202
10009 6 16.512698
10009 7 43.507326
10009 8 45.012523
10009 9 14.531784
10009 10 13.841242
10009 11 26.965645
10009 12 30.218331
10009 13 14.639395
10009 14 12.994148
10009 15 12.773139
10008 2 15.209640
10008 3 46.670179
10008 4 46.968715
10008 5 43.891363
10008 6 16.076903
10008 7 43.255906
10008 8 46.148215
10008 9 14.177116
10008 10 13.924451
10008 11 27.008000
10008 12 30.247279
10008 13 14.819673
10008 14 12.840817
10008 15 14.963015
10007 2 14.234989
10007 3 46.002159
10007 4 46.543785
10007 5 43.768508
10007 6 16.668967
10007 7 43.668150
10007 8 45.262584
10007 9 14.276050
10007 10 13.756583
10007 11 26.782796
10007 12 30.217495
10007 13 14.867165
10007 14 12.804902
10007 15 12.716634
10006 2 15.218207
10006 3 46.459618
10006 4 47.408850
10006 5 44.062789
10006 6 16.256402
10006 7 43.248939
10006 8 44.783848
10006 9 14.132657
10006 10 13.446255
10006 11 26.962486
10006 12 30.075515
10006 13 14.751540
10006 14 12.900040
10006 15 13.040817
10005 2 14.785455
10005 3 46.389965
10005 4 46.863308
10005 5 43.700318
10005 6 16.230972
10005 7 43.255944
10005 8 44.842393
10005 9 13.923018
10005 10 13.474004
10005 11 26.861311
10005 12 29.653808
10005 13 14.754246
10005 14 13.298261
10005 15 12.183728
10004 2 14.723872
10004 3 47.196558
10004 4 46.584868
10004 5 43.617397
10004 6 16.599450
10004 7 43.193475
10004 8 45.069061
10004 9 13.932104
10004 10 13.940190
10004 11 26.868500
10004 12 30.831961
10004 13 14.584857
10004 14 12.794913
10004 15 12.345150
10003 2 16.230074
10003 3 47.382334
10003 4 47.310193
10003 5 44.461075
10003 6 16.139330
10003 7 43.331085
10003 8 45.459636
10003 9 13.869036
10003 10 13.770529
10003 11 26.890197
10003 12 31.469988
10003 13 13.814674
10003 14 12.828738
10003 15 12.616612
10002 2 14.943191
10002 3 46.851222
10002 4 46.876811
10002 5 44.273074
10002 6 16.541458
10002 7 43.205662
10002 8 45.727679
10002 9 13.867211
10002 10 13.487764
10002 11 26.896260
10002 12 31.162675
10002 13 13.785523
10002 14 12.805607
10002 15 12.091599
10001 2 15.457536
10001 3 46.461178
10001 4 47.083979
10001 5 45.003638
10001 6 16.000001
10001 7 43.578770
10001 8 45.838918
10001 9 14.022241
10001 10 13.463422
10001 11 26.863910
10001 12 30.500720
10001 13 17.032772
10001 14 12.813655
10001 15 12.345569
10000 2 16.383142
10000 3 48.055069
10000 4 46.347123
10000 5 44.256708
10000 6 16.036531
10000 7 43.477250
10000 8 45.782936
10000 9 14.379782
10000 10 13.596127
10000 11 26.785859
10000 12 30.259771
10000 13 13.832814
10000 14 13.455086
10000 15 22.120985
9999 2 14.525032
9999 3 46.031893
9999 4 47.090341
9999 5 44.016040
9999 6 16.688794
9999 7 44.231597
9999 8 45.089512
9999 9 13.986445
9999 10 13.793748
9999 11 26.939816
9999 12 29.416949
9999 13 14.281165
9999 14 13.113139
9999 15 12.578981
9998 2 15.530691
9998 3 46.974870
9998 4 46.954101
9998 5 44.545842
9998 6 16.050597
9998 7 43.565633
9998 8 45.434589
9998 9 13.951752
9998 10 13.498561
9998 11 26.916365
9998 12 30.754881
