# #runID ohdu sigmaOS
10078 13 15.275491
10078 14 25.030227
10078 15 13.377850
10077 2 14213366.735272
10077 3 378.462472
10077 4 281.368392
10077 5 266.749159
10077 6 16.330944
10077 7 286.764238
10077 8 420.828219
10077 9 73.566662
10077 10 14.491855
10077 11 322.699177
10077 12 30.765966
10077 13 15.936379
10077 14 19.939715
10077 15 13.385322
10076 2 18.666548
10076 3 371.459834
10076 4 279.591052
10076 5 270.091242
10076 6 17.980349
10076 7 285.606548
10076 8 422.173085
10076 9 15.058637
10076 10 14213366.734052
10076 11 320.531870
10076 12 29.894163
10076 13 15.316424
10076 14 19.265874
10076 15 13.765242
10075 2 15.300468
10075 3 374.716678
10075 4 279.148261
10075 5 270.533203
10075 6 16.204921
10075 7 284.832790
10075 8 429.115407
10075 9 14.827426
10075 10 21.535486
10075 11 319.987980
10075 12 30.240598
10075 13 20100715.690434
10075 14 15.986688
10075 15 13.304517
10074 2 17.751495
10074 3 372.710511
10074 4 278.456180
10074 5 269.930841
10074 6 16.152231
10074 7 288.167034
10074 8 421.804727
10074 9 20100715.699086
10074 10 24.871381
10074 11 321.598462
10074 12 30.245250
10074 13 15.919697
10074 14 14213366.734223
10074 15 13.285080
10073 2 34.162584
10073 3 375.941322
10073 4 279.691715
10073 5 270.893261
10073 6 20.688196
10073 7 283.330282
10073 8 426.814939
10073 9 47.455806
10073 10 14.170771
10073 11 320.663029
10073 12 30.433913
10073 13 39.841446
10073 14 18.748476
10073 15 13.433759
10072 2 15.567700
10072 3 376.045200
10072 4 277.925253
10072 5 271.698007
10072 6 16.047609
10072 7 283.771515
10072 8 409.733731
10072 9 14.585746
10072 10 32.534582
10072 11 321.988220
10072 12 30.621018
10072 13 56.907612
10072 14 24.416626
10072 15 13.535013
10071 2 26.802554
10071 3 372.151230
10071 4 280.000007
10071 5 270.887608
10071 6 16.100292
10071 7 285.212351
10071 8 422.670530
10071 9 14.635460
10071 10 39.065813
10071 11 322.940983
10071 12 30.144461
10071 13 20.839203
10071 14 17.639805
10071 15 12.849396
10070 2 15.259084
10070 3 374.962506
10070 4 279.738562
10070 5 269.560074
10070 6 16.194388
10070 7 285.452230
10070 8 426.464236
10070 9 21.496647
10070 10 14.593754
10070 11 321.939282
10070 12 30.119185
10070 13 16.211971
10070 14 17.024317
10070 15 16.013388
10069 2 18.070587
10069 3 371.940189
10069 4 278.007706
10069 5 269.059885
10069 6 16.199019
10069 7 283.584821
10069 8 419.998408
10069 9 14.405250
10069 10 46.683176
10069 11 321.223010
10069 12 29.589590
10069 13 32.184598
10069 14 20.451561
10069 15 12.868330
10068 2 15.527636
10068 3 383.169283
10068 4 276.947697
10068 5 268.943439
10068 6 32.118872
10068 7 283.188149
10068 8 420.938260
10068 9 62.160255
10068 10 14.206026
10068 11 322.171802
10068 12 29.884044
10068 13 14.602710
10068 14 32.309334
10068 15 13.428723
10067 2 19.946576
10067 3 378.436183
10067 4 309.882924
10067 5 269.279122
10067 6 16.777248
10067 7 284.310629
10067 8 422.956027
10067 9 24618223.597957
10067 10 86.622147
10067 11 322.177669
10067 12 30.155027
10067 13 14.325225
10067 14 14213366.733592
10067 15 12.668811
10066 2 47.443345
10066 3 372.762436
10066 4 276.375683
10066 5 269.639931
10066 6 16.084400
10066 7 284.242117
10066 8 419.597698
10066 9 14.398172
10066 10 19.624351
10066 11 322.294882
10066 12 30.306640
10066 13 18.630741
10066 14 17.659521
10066 15 12.565104
