# #runID ohdu sigmaOSbin
6489 13 12.715533
6489 14 12.176939
6489 15 12.530091
6488 2 11.444424
6488 3 12.115214
6488 4 11.528151
6488 5 11.357485
6488 6 16.468430
6488 7 10.856835
6488 8 11.872105
6488 9 12.700373
6488 10 12.381749
6488 11 6.675913
6488 12 6.920566
6488 13 12.759402
6488 14 12.179963
6488 15 12.588523
6487 2 11.434959
6487 3 12.099000
6487 4 11.443827
6487 5 11.341974
6487 6 16.513962
6487 7 10.888040
6487 8 11.881397
6487 9 12.661856
6487 10 12.352882
6487 11 6.670548
6487 12 7.029602
6487 13 12.791899
6487 14 12.197720
6487 15 12.534300
6486 2 11.475808
6486 3 12.137861
6486 4 11.321707
6486 5 11.352870
6486 6 16.499547
6486 7 10.893460
6486 8 11.857957
6486 9 12.680895
6486 10 12.377218
6486 11 6.673628
6486 12 6.989351
6486 13 12.768646
6486 14 12.213796
6486 15 12.588970
6485 2 11.491630
6485 3 12.119696
6485 4 11.338110
6485 5 11.422379
6485 6 16.530019
6485 7 10.927650
6485 8 11.880643
6485 9 12.652824
6485 10 12.335089
6485 11 6.652953
6485 12 7.008031
6485 13 12.797806
6485 14 12.144699
6485 15 12.572728
6484 2 11.477292
6484 3 12.144785
6484 4 11.331937
6484 5 11.361698
6484 6 16.527965
6484 7 10.865872
6484 8 11.861278
6484 9 12.669184
6484 10 12.360278
6484 11 6.672500
6484 12 6.948499
6484 13 0.110356
6484 14 12.206038
6484 15 12.555881
6483 2 11.495167
6483 3 12.119367
6483 4 11.330165
6483 5 11.400450
6483 6 16.493283
6483 7 10.883874
6483 8 11.890828
6483 9 12.622745
6483 10 12.298502
6483 11 6.654951
6483 12 7.015841
6483 13 12.735256
6483 14 12.218964
6483 15 12.549901
6482 2 11.483368
6482 3 12.146061
6482 4 11.384614
6482 5 11.400644
6482 6 16.493191
6482 7 10.863624
6482 8 11.862036
6482 9 12.642748
6482 10 12.331552
6482 11 6.656010
6482 12 6.975591
6482 13 12.757046
6482 14 12.166427
6482 15 12.539723
6481 2 11.455191
6481 3 12.135008
6481 4 11.351166
6481 5 11.423482
6481 6 16.531967
6481 7 10.901898
6481 8 11.869600
6481 9 12.635026
6481 10 12.298296
6481 11 6.661196
6481 12 6.929398
6481 13 12.777591
6481 14 12.207229
6481 15 12.559039
6480 2 11.487717
6480 3 12.131981
6480 4 11.355769
6480 5 11.388293
6480 6 16.479404
6480 7 10.861437
6480 8 11.874997
6480 9 12.639292
6480 10 12.338106
6480 11 6.653636
6480 12 6.968275
6480 13 12.760026
6480 14 12.188441
6480 15 12.551226
6479 2 11.453422
6479 3 12.115250
6479 4 11.397052
6479 5 11.381609
6479 6 16.539528
6479 7 10.850197
6479 8 11.853558
6479 9 12.653273
6479 10 12.368989
6479 11 6.664777
6479 12 6.972090
6479 13 12.775566
6479 14 12.132900
6479 15 12.564719
6478 2 11.466815
6478 3 12.100223
6478 4 11.340451
6478 5 11.399087
6478 6 16.541296
6478 7 10.878778
6478 8 11.855178
6478 9 12.642517
6478 10 12.346687
6478 11 6.679288
6478 12 6.942661
6478 13 12.767018
6478 14 12.124140
6478 15 12.598687
6477 2 11.472968
6477 3 12.127443
6477 4 11.382116
6477 5 11.365629
6477 6 16.469659
6477 7 10.872236
6477 8 11.878475
6477 9 12.612685
6477 10 12.338486
6477 11 6.672552
6477 12 6.960026
6477 13 12.737734
6477 14 12.150112
6477 15 12.563517
6476 2 11.438629
6476 3 12.105640
6476 4 11.406720
6476 5 11.371616
6476 6 16.485520
6476 7 10.893485
6476 8 11.881290
6476 9 12.614797
6476 10 12.335527
6476 11 6.651012
6476 12 6.900559
6476 13 12.815728
6476 14 12.179147
6476 15 12.578231
6475 2 11.513010
6475 3 12.092465
6475 4 11.365367
6475 5 11.387503
6475 6 16.499141
6475 7 10.928789
6475 8 11.893695
6475 9 12.635922
