# #runID ohdu sigmaOSMAD
10069 3 46.180335
10069 4 46.808357
10069 5 44.363103
10069 6 16.128853
10069 7 42.983317
10069 8 44.958695
10069 9 13.747398
10069 10 13.811896
10069 11 26.833816
10069 12 28.632348
10069 13 13.871801
10069 14 13.202105
10069 15 12.696988
10068 2 14.728017
10068 3 46.501253
10068 4 46.704742
10068 5 44.016310
10068 6 16.040217
10068 7 42.977969
10068 8 45.001153
10068 9 13.712756
10068 10 13.887692
10068 11 26.856490
10068 12 29.140568
10068 13 14.266636
10068 14 13.421542
10068 15 13.260594
10067 2 14.779898
10067 3 46.791095
10067 4 46.757021
10067 5 44.517396
10067 6 16.074108
10067 7 43.229926
10067 8 45.203785
10067 9 13.779313
10067 10 14.065196
10067 11 26.889159
10067 12 29.429161
10067 13 13.963002
10067 14 13.134598
10067 15 12.501481
10066 2 15.117400
10066 3 46.109189
10066 4 46.408152
10066 5 44.017989
10066 6 15.998108
10066 7 43.101099
10066 8 44.899828
10066 9 13.744181
10066 10 13.708941
10066 11 27.011380
10066 12 29.575198
10066 13 14.445710
10066 14 13.455750
10066 15 12.394103
10065 2 14.180209
10065 3 46.079223
10065 4 46.914659
10065 5 44.137289
10065 6 16.099030
10065 7 43.991903
10065 8 45.071848
10065 9 14.107202
10065 10 14.062512
10065 11 26.850811
10065 12 30.060509
10065 13 14.009449
10065 14 13.835494
10065 15 12.923319
10064 2 14.191527
10064 3 46.132804
10064 4 46.423141
10064 5 44.067981
10064 6 16.260064
10064 7 43.577607
10064 8 44.626762
10064 9 14.117755
10064 10 14.097422
10064 11 26.889335
10064 12 29.818878
10064 13 19.247560
10064 14 13.838892
10064 15 14.495536
10063 2 14.939860
10063 3 47.814266
10063 4 46.209370
10063 5 45.482063
10063 6 16.104619
10063 7 43.167156
10063 8 45.341335
10063 9 14.218719
10063 10 13.618086
10063 11 26.989637
10063 12 28.805429
10063 13 13.916019
10063 14 13.801898
10063 15 12.185309
10062 2 14.170906
10062 3 46.117800
10062 4 46.311176
10062 5 43.943483
10062 6 16.403046
10062 7 43.920383
10062 8 45.606841
10062 9 13.836357
10062 10 13.838661
10062 11 27.009541
10062 12 28.911465
10062 13 20.764044
10062 14 13.064326
10062 15 13.024192
10061 2 14.189613
10061 3 46.382510
10061 4 46.616747
10061 5 44.162993
10061 6 16.286604
10061 7 43.738010
10061 8 45.359447
10061 9 13.822729
10061 10 13.815276
10061 11 26.875416
10061 12 29.226123
10061 13 13.927998
10061 14 12.747884
10061 15 13.963890
10060 2 15.953529
10060 3 47.896688
10060 4 47.179660
10060 5 45.512294
10060 6 15.989763
10060 7 43.168234
10060 8 45.155401
10060 9 13.819931
10060 10 13.507003
