# E[keV], Quenching[1]
1.673420e+00, 1.473430e-01
1.683570e+00, 1.476950e-01
1.693790e+00, 1.480480e-01
1.704080e+00, 1.484010e-01
1.714430e+00, 1.487540e-01
1.724860e+00, 1.491080e-01
1.735360e+00, 1.494630e-01
1.745920e+00, 1.498180e-01
1.756560e+00, 1.501730e-01
1.767260e+00, 1.505290e-01
1.778040e+00, 1.508850e-01
1.788890e+00, 1.512420e-01
1.799810e+00, 1.515990e-01
1.810810e+00, 1.519570e-01
1.821870e+00, 1.523150e-01
1.833020e+00, 1.526730e-01
1.844230e+00, 1.530330e-01
1.855520e+00, 1.533920e-01
1.866890e+00, 1.537520e-01
1.878330e+00, 1.541130e-01
1.889850e+00, 1.544740e-01
1.901440e+00, 1.548360e-01
1.913110e+00, 1.551980e-01
1.924860e+00, 1.555610e-01
1.936690e+00, 1.559240e-01
1.948600e+00, 1.562870e-01
1.960580e+00, 1.566510e-01
1.972650e+00, 1.570160e-01
1.984800e+00, 1.573810e-01
1.997020e+00, 1.577470e-01
2.009330e+00, 1.581130e-01
2.021720e+00, 1.584790e-01
2.034200e+00, 1.588470e-01
2.046750e+00, 1.592140e-01
2.059390e+00, 1.595820e-01
2.072120e+00, 1.599510e-01
2.084930e+00, 1.603200e-01
2.097820e+00, 1.606900e-01
2.110800e+00, 1.610600e-01
2.123870e+00, 1.614310e-01
2.137020e+00, 1.618030e-01
2.150270e+00, 1.621750e-01
2.163600e+00, 1.625470e-01
2.177020e+00, 1.629200e-01
2.190520e+00, 1.632930e-01
2.204120e+00, 1.636670e-01
2.217810e+00, 1.640420e-01
2.231590e+00, 1.644170e-01
2.245460e+00, 1.647930e-01
2.259430e+00, 1.651690e-01
2.273490e+00, 1.655460e-01
2.287640e+00, 1.659230e-01
2.301880e+00, 1.663010e-01
2.316220e+00, 1.666790e-01
2.330660e+00, 1.670580e-01
2.345190e+00, 1.674380e-01
2.359820e+00, 1.678180e-01
2.374550e+00, 1.681990e-01
2.389370e+00, 1.685800e-01
2.404290e+00, 1.689610e-01
2.419320e+00, 1.693440e-01
2.434440e+00, 1.697270e-01
2.449660e+00, 1.701100e-01
2.464990e+00, 1.704940e-01
2.480420e+00, 1.708790e-01
2.495950e+00, 1.712640e-01
2.511580e+00, 1.716500e-01
2.527320e+00, 1.720370e-01
2.543160e+00, 1.724240e-01
2.559110e+00, 1.728110e-01
2.575170e+00, 1.731990e-01
2.591330e+00, 1.735880e-01
2.607600e+00, 1.739780e-01
2.623970e+00, 1.743680e-01
2.640460e+00, 1.747580e-01
2.657060e+00, 1.751490e-01
2.673770e+00, 1.755410e-01
2.690580e+00, 1.759330e-01
2.707520e+00, 1.763260e-01
2.724560e+00, 1.767200e-01
2.741720e+00, 1.771140e-01
2.758990e+00, 1.775090e-01
2.776370e+00, 1.779040e-01
2.793880e+00, 1.783010e-01
2.811500e+00, 1.786970e-01
2.829230e+00, 1.790940e-01
2.847090e+00, 1.794920e-01
2.865060e+00, 1.798910e-01
2.883160e+00, 1.802900e-01
2.901370e+00, 1.806900e-01
2.919710e+00, 1.810900e-01
2.938160e+00, 1.814910e-01
2.956740e+00, 1.818930e-01
2.975450e+00, 1.822960e-01
2.994280e+00, 1.826990e-01
3.013230e+00, 1.831020e-01
3.032310e+00, 1.835070e-01
3.051520e+00, 1.839120e-01
3.070860e+00, 1.843170e-01
3.090320e+00, 1.847240e-01
3.109920e+00, 1.851310e-01
3.129640e+00, 1.855380e-01
3.149500e+00, 1.859470e-01
3.169490e+00, 1.863550e-01
3.189610e+00, 1.867650e-01
3.209870e+00, 1.871750e-01
3.230260e+00, 1.875860e-01
3.250790e+00, 1.879980e-01
3.271450e+00, 1.884100e-01
3.292250e+00, 1.888230e-01
3.313190e+00, 1.892370e-01
3.334270e+00, 1.896510e-01
3.355490e+00, 1.900660e-01
3.376860e+00, 1.904820e-01
3.398360e+00, 1.908980e-01
3.420010e+00, 1.913150e-01
3.441800e+00, 1.917330e-01
3.463740e+00, 1.921520e-01
3.485820e+00, 1.925710e-01
3.508050e+00, 1.929910e-01
3.530430e+00, 1.934110e-01
3.552960e+00, 1.938330e-01
3.575630e+00, 1.942550e-01
3.598460e+00, 1.946770e-01
3.621440e+00, 1.951010e-01
3.644580e+00, 1.955250e-01
3.667870e+00, 1.959500e-01
3.691310e+00, 1.963760e-01
3.714910e+00, 1.968020e-01
3.738670e+00, 1.972290e-01
3.762580e+00, 1.976570e-01
3.786660e+00, 1.980860e-01
3.810890e+00, 1.985150e-01
3.835290e+00, 1.989450e-01
3.859850e+00, 1.993760e-01
3.884570e+00, 1.998070e-01
3.909460e+00, 2.002400e-01
3.934510e+00, 2.006730e-01
3.959730e+00, 2.011070e-01
3.985120e+00, 2.015410e-01
4.010680e+00, 2.019770e-01
4.036410e+00, 2.024130e-01
4.062310e+00, 2.028490e-01
4.088380e+00, 2.032870e-01
4.114630e+00, 2.037250e-01
4.141050e+00, 2.041650e-01
4.167640e+00, 2.046050e-01
4.194420e+00, 2.050450e-01
4.221370e+00, 2.054870e-01
4.248500e+00, 2.059290e-01
4.275820e+00, 2.063720e-01
4.303310e+00, 2.068160e-01
4.330990e+00, 2.072600e-01
4.358850e+00, 2.077060e-01
4.386900e+00, 2.081520e-01
4.415140e+00, 2.085990e-01
4.443560e+00, 2.090470e-01
4.472170e+00, 2.094950e-01
4.500980e+00, 2.099450e-01
4.529970e+00, 2.103950e-01
4.559160e+00, 2.108460e-01
4.588540e+00, 2.112980e-01
4.618120e+00, 2.117500e-01
4.647900e+00, 2.122040e-01
4.677880e+00, 2.126580e-01
4.708050e+00, 2.131130e-01
4.738430e+00, 2.135690e-01
4.769000e+00, 2.140260e-01
4.799780e+00, 2.144840e-01
4.830770e+00, 2.149420e-01
4.861970e+00, 2.154020e-01
4.893370e+00, 2.158620e-01
4.924980e+00, 2.163230e-01
4.956800e+00, 2.167850e-01
4.988830e+00, 2.172480e-01
5.021080e+00, 2.177120e-01
5.053540e+00, 2.181760e-01
5.086220e+00, 2.186420e-01
5.119110e+00, 2.191080e-01
5.152230e+00, 2.195750e-01
5.185560e+00, 2.200430e-01
5.219120e+00, 2.205120e-01
5.252900e+00, 2.209820e-01
5.286910e+00, 2.214520e-01
5.321140e+00, 2.219240e-01
5.355600e+00, 2.223960e-01
5.390300e+00, 2.228690e-01
5.425220e+00, 2.233440e-01
5.460370e+00, 2.238190e-01
5.495760e+00, 2.242950e-01
5.531390e+00, 2.247710e-01
5.567250e+00, 2.252490e-01
5.603350e+00, 2.257280e-01
5.639690e+00, 2.262070e-01
5.676280e+00, 2.266880e-01
5.713100e+00, 2.271690e-01
5.750180e+00, 2.276520e-01
5.787500e+00, 2.281350e-01
5.825070e+00, 2.286190e-01
5.862890e+00, 2.291040e-01
5.900960e+00, 2.295900e-01
5.939280e+00, 2.300770e-01
5.977870e+00, 2.305650e-01
6.016700e+00, 2.310540e-01
6.055800e+00, 2.315440e-01
6.095160e+00, 2.320340e-01
6.134780e+00, 2.325260e-01
6.174660e+00, 2.330190e-01
6.214810e+00, 2.335120e-01
6.255230e+00, 2.340070e-01
6.295910e+00, 2.345020e-01
6.336870e+00, 2.349990e-01
6.378100e+00, 2.354960e-01
6.419600e+00, 2.359950e-01
6.461390e+00, 2.364940e-01
6.503450e+00, 2.369950e-01
6.545790e+00, 2.374960e-01
6.588410e+00, 2.379980e-01
6.631320e+00, 2.385020e-01
6.674510e+00, 2.390060e-01
6.717990e+00, 2.395110e-01
6.761760e+00, 2.400180e-01
6.805820e+00, 2.405250e-01
6.850180e+00, 2.410340e-01
6.894830e+00, 2.415430e-01
6.939780e+00, 2.420540e-01
6.985020e+00, 2.425650e-01
7.030570e+00, 2.430780e-01
7.076430e+00, 2.435920e-01
7.122590e+00, 2.441060e-01
7.169050e+00, 2.446220e-01
7.215830e+00, 2.451390e-01
7.262920e+00, 2.456560e-01
7.310320e+00, 2.461750e-01
7.358040e+00, 2.466950e-01
7.406070e+00, 2.472160e-01
7.454430e+00, 2.477380e-01
7.503100e+00, 2.482610e-01
7.552110e+00, 2.487850e-01
7.601440e+00, 2.493100e-01
7.651090e+00, 2.498360e-01
7.701080e+00, 2.503630e-01
7.751400e+00, 2.508920e-01
7.802060e+00, 2.514210e-01
7.853050e+00, 2.519520e-01
7.904390e+00, 2.524830e-01
7.956070e+00, 2.530160e-01
8.008090e+00, 2.535490e-01
8.060450e+00, 2.540840e-01
8.113170e+00, 2.546200e-01
8.166240e+00, 2.551570e-01
8.219660e+00, 2.556950e-01
8.273440e+00, 2.562340e-01
8.327570e+00, 2.567750e-01
8.382070e+00, 2.573160e-01
8.436930e+00, 2.578590e-01
8.492150e+00, 2.584020e-01
8.547750e+00, 2.589470e-01
8.603710e+00, 2.594930e-01
8.660050e+00, 2.600400e-01
8.716760e+00, 2.605880e-01
8.773850e+00, 2.611380e-01
8.831320e+00, 2.616880e-01
8.889180e+00, 2.622400e-01
8.947420e+00, 2.627920e-01
9.006040e+00, 2.633460e-01
9.065060e+00, 2.639010e-01
9.124470e+00, 2.644570e-01
9.184280e+00, 2.650150e-01
9.244490e+00, 2.655730e-01
9.305090e+00, 2.661330e-01
9.366100e+00, 2.666940e-01
9.427520e+00, 2.672560e-01
9.489350e+00, 2.678190e-01
9.551590e+00, 2.683830e-01
9.614240e+00, 2.689490e-01
9.677310e+00, 2.695160e-01
9.740800e+00, 2.700840e-01
9.804720e+00, 2.706530e-01
9.869060e+00, 2.712230e-01
9.933830e+00, 2.717950e-01
9.999030e+00, 2.723680e-01
1.006470e+01, 2.729420e-01
1.013070e+01, 2.735170e-01
1.019730e+01, 2.740930e-01
1.026420e+01, 2.746710e-01
1.033160e+01, 2.752500e-01
1.039950e+01, 2.758300e-01
1.046780e+01, 2.764120e-01
1.053650e+01, 2.769940e-01
1.060570e+01, 2.775780e-01
1.067540e+01, 2.781640e-01
1.074560e+01, 2.787500e-01
1.081620e+01, 2.793380e-01
1.088730e+01, 2.799270e-01
1.095880e+01, 2.805170e-01
1.103080e+01, 2.811090e-01
1.110340e+01, 2.817010e-01
1.117630e+01, 2.822950e-01
1.124980e+01, 2.828910e-01
1.132380e+01, 2.834870e-01
1.139830e+01, 2.840850e-01
1.147320e+01, 2.846840e-01
1.154870e+01, 2.852850e-01
1.162460e+01, 2.858860e-01
1.170110e+01, 2.864890e-01
1.177810e+01, 2.870930e-01
1.185560e+01, 2.876990e-01
1.193360e+01, 2.883060e-01
1.201210e+01, 2.889140e-01
1.209120e+01, 2.895230e-01
1.217080e+01, 2.901340e-01
1.225090e+01, 2.907460e-01
1.233150e+01, 2.913590e-01
1.241270e+01, 2.919740e-01
1.249440e+01, 2.925900e-01
1.257670e+01, 2.932070e-01
1.265950e+01, 2.938250e-01
1.274280e+01, 2.944450e-01
1.282680e+01, 2.950660e-01
1.291120e+01, 2.956890e-01
1.299630e+01, 2.963130e-01
1.308190e+01, 2.969380e-01
1.316810e+01, 2.975640e-01
1.325480e+01, 2.981920e-01
1.334220e+01, 2.988210e-01
1.343010e+01, 2.994510e-01
1.351860e+01, 3.000830e-01
1.360770e+01, 3.007160e-01
1.369740e+01, 3.013500e-01
1.378760e+01, 3.019860e-01
1.387850e+01, 3.026230e-01
1.397000e+01, 3.032610e-01
1.406210e+01, 3.039010e-01
1.415480e+01, 3.045420e-01
1.424820e+01, 3.051840e-01
1.434210e+01, 3.058280e-01
1.443670e+01, 3.064730e-01
1.453190e+01, 3.071190e-01
1.462770e+01, 3.077670e-01
1.472420e+01, 3.084150e-01
1.482130e+01, 3.090660e-01
1.491910e+01, 3.097170e-01
