# E[keV], Quenching[1]
7.890e-02,2.070e-02
7.900e-02,2.070e-02
7.910e-02,2.070e-02
7.910e-02,2.070e-02
7.920e-02,2.072e-02
7.930e-02,2.071e-02
7.930e-02,2.071e-02
7.940e-02,2.071e-02
7.950e-02,2.071e-02
7.950e-02,2.071e-02
7.960e-02,2.071e-02
7.970e-02,2.071e-02
7.970e-02,2.071e-02
7.980e-02,2.072e-02
7.990e-02,2.072e-02
7.990e-02,2.072e-02
8.000e-02,2.072e-02
8.010e-02,2.071e-02
8.010e-02,2.071e-02
8.020e-02,2.071e-02
8.030e-02,2.071e-02
8.030e-02,2.071e-02
8.040e-02,2.071e-02
8.050e-02,2.072e-02
8.050e-02,2.072e-02
8.060e-02,2.072e-02
8.070e-02,2.072e-02
8.080e-02,2.072e-02
8.080e-02,2.072e-02
8.090e-02,2.072e-02
8.100e-02,2.072e-02
8.100e-02,2.072e-02
8.110e-02,2.072e-02
8.120e-02,2.072e-02
8.120e-02,2.072e-02
8.130e-02,2.073e-02
8.140e-02,2.073e-02
8.140e-02,2.073e-02
8.150e-02,2.074e-02
8.160e-02,2.074e-02
8.170e-02,2.074e-02
8.170e-02,2.074e-02
8.180e-02,2.073e-02
8.190e-02,2.073e-02
8.190e-02,2.073e-02
8.200e-02,2.072e-02
8.210e-02,2.072e-02
8.210e-02,2.072e-02
8.220e-02,2.072e-02
8.230e-02,2.072e-02
8.240e-02,2.072e-02
8.240e-02,2.072e-02
8.250e-02,2.072e-02
8.260e-02,2.072e-02
8.260e-02,2.072e-02
8.270e-02,2.072e-02
8.280e-02,2.072e-02
8.280e-02,2.072e-02
8.290e-02,2.072e-02
8.300e-02,2.072e-02
8.310e-02,2.072e-02
8.310e-02,2.072e-02
8.320e-02,2.072e-02
8.330e-02,2.072e-02
8.340e-02,2.072e-02
8.340e-02,2.072e-02
8.350e-02,2.072e-02
8.360e-02,2.072e-02
8.360e-02,2.072e-02
8.370e-02,2.072e-02
8.380e-02,2.072e-02
8.390e-02,2.072e-02
8.390e-02,2.072e-02
8.400e-02,2.072e-02
8.410e-02,2.072e-02
8.420e-02,2.072e-02
8.420e-02,2.072e-02
8.430e-02,2.073e-02
8.440e-02,2.074e-02
8.440e-02,2.074e-02
8.450e-02,2.075e-02
8.460e-02,2.075e-02
8.470e-02,2.075e-02
8.470e-02,2.075e-02
8.480e-02,2.075e-02
8.490e-02,2.075e-02
8.500e-02,2.075e-02
8.500e-02,2.075e-02
8.510e-02,2.076e-02
8.520e-02,2.076e-02
8.530e-02,2.076e-02
8.530e-02,2.076e-02
8.540e-02,2.077e-02
8.550e-02,2.077e-02
8.560e-02,2.077e-02
8.560e-02,2.077e-02
8.570e-02,2.078e-02
8.580e-02,2.078e-02
8.590e-02,2.078e-02
8.590e-02,2.078e-02
8.600e-02,2.077e-02
8.610e-02,2.078e-02
8.620e-02,2.078e-02
8.620e-02,2.078e-02
8.630e-02,2.078e-02
8.640e-02,2.078e-02
8.650e-02,2.079e-02
8.650e-02,2.079e-02
8.660e-02,2.080e-02
8.670e-02,2.081e-02
8.680e-02,2.081e-02
8.680e-02,2.081e-02
8.690e-02,2.081e-02
8.700e-02,2.081e-02
8.710e-02,2.081e-02
8.720e-02,2.082e-02
8.720e-02,2.082e-02
8.730e-02,2.082e-02
8.740e-02,2.084e-02
8.750e-02,2.085e-02
8.750e-02,2.085e-02
8.760e-02,2.085e-02
8.770e-02,2.085e-02
8.780e-02,2.085e-02
8.790e-02,2.086e-02
8.790e-02,2.086e-02
8.800e-02,2.086e-02
8.810e-02,2.088e-02
8.820e-02,2.088e-02
8.830e-02,2.088e-02
8.830e-02,2.088e-02
8.840e-02,2.089e-02
8.850e-02,2.092e-02
8.860e-02,2.092e-02
8.860e-02,2.092e-02
8.870e-02,2.093e-02
8.880e-02,2.093e-02
8.890e-02,2.093e-02
8.900e-02,2.095e-02
8.900e-02,2.095e-02
8.910e-02,2.095e-02
8.920e-02,2.098e-02
8.930e-02,2.098e-02
8.940e-02,2.098e-02
8.940e-02,2.098e-02
8.950e-02,2.099e-02
8.960e-02,2.099e-02
8.970e-02,2.100e-02
8.980e-02,2.101e-02
8.980e-02,2.101e-02
8.990e-02,2.103e-02
9.000e-02,2.103e-02
9.010e-02,2.105e-02
9.020e-02,2.105e-02
9.030e-02,2.107e-02
9.030e-02,2.107e-02
9.040e-02,2.108e-02
9.050e-02,2.109e-02
9.060e-02,2.109e-02
9.070e-02,2.110e-02
9.070e-02,2.110e-02
9.080e-02,2.112e-02
9.090e-02,2.113e-02
9.100e-02,2.115e-02
9.110e-02,2.117e-02
9.120e-02,2.117e-02
9.120e-02,2.117e-02
9.130e-02,2.119e-02
9.140e-02,2.119e-02
9.150e-02,2.119e-02
9.160e-02,2.121e-02
9.170e-02,2.123e-02
9.170e-02,2.123e-02
9.180e-02,2.126e-02
9.190e-02,2.127e-02
9.200e-02,2.128e-02
9.210e-02,2.128e-02
9.220e-02,2.129e-02
9.220e-02,2.129e-02
9.230e-02,2.133e-02
9.240e-02,2.134e-02
9.250e-02,2.135e-02
9.260e-02,2.137e-02
9.270e-02,2.138e-02
9.270e-02,2.138e-02
9.280e-02,2.142e-02
9.290e-02,2.142e-02
9.300e-02,2.143e-02
9.310e-02,2.146e-02
9.320e-02,2.146e-02
9.330e-02,2.148e-02
9.330e-02,2.148e-02
9.340e-02,2.152e-02
9.350e-02,2.153e-02
9.360e-02,2.155e-02
9.370e-02,2.155e-02
9.380e-02,2.157e-02
9.390e-02,2.161e-02
9.390e-02,2.161e-02
9.400e-02,2.162e-02
9.410e-02,2.164e-02
9.420e-02,2.166e-02
9.430e-02,2.167e-02
9.440e-02,2.170e-02
9.450e-02,2.172e-02
9.460e-02,2.174e-02
9.460e-02,2.174e-02
9.470e-02,2.176e-02
9.480e-02,2.179e-02
9.490e-02,2.181e-02
9.500e-02,2.184e-02
9.510e-02,2.185e-02
9.520e-02,2.186e-02
9.530e-02,2.189e-02
9.530e-02,2.189e-02
9.540e-02,2.193e-02
9.550e-02,2.195e-02
9.560e-02,2.197e-02
9.570e-02,2.198e-02
9.580e-02,2.201e-02
9.590e-02,2.203e-02
9.600e-02,2.204e-02
9.610e-02,2.207e-02
9.610e-02,2.207e-02
9.620e-02,2.211e-02
9.630e-02,2.213e-02
9.640e-02,2.216e-02
9.650e-02,2.218e-02
9.660e-02,2.220e-02
9.670e-02,2.223e-02
9.680e-02,2.224e-02
9.690e-02,2.227e-02
9.700e-02,2.231e-02
9.710e-02,2.232e-02
9.710e-02,2.232e-02
9.720e-02,2.236e-02
9.730e-02,2.238e-02
9.740e-02,2.241e-02
9.750e-02,2.244e-02
9.760e-02,2.247e-02
9.770e-02,2.247e-02
9.780e-02,2.250e-02
9.790e-02,2.254e-02
9.800e-02,2.257e-02
9.800e-02,2.257e-02
9.810e-02,2.259e-02
9.820e-02,2.264e-02
9.830e-02,2.268e-02
9.840e-02,2.268e-02
9.850e-02,2.271e-02
9.860e-02,2.273e-02
9.870e-02,2.278e-02
9.880e-02,2.278e-02
9.890e-02,2.282e-02
9.900e-02,2.285e-02
9.910e-02,2.287e-02
9.920e-02,2.289e-02
9.930e-02,2.293e-02
9.940e-02,2.295e-02
9.940e-02,2.295e-02
9.950e-02,2.299e-02
9.960e-02,2.303e-02
9.970e-02,2.305e-02
9.980e-02,2.309e-02
9.990e-02,2.313e-02
1.000e-01,2.313e-02
1.000e-01,2.313e-02
1.000e-01,2.313e-02
1.000e-01,2.313e-02
1.000e-01,2.313e-02
1.000e-01,2.313e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.010e-01,2.331e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.020e-01,2.361e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.030e-01,2.388e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.040e-01,2.420e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.050e-01,2.452e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.060e-01,2.482e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.070e-01,2.515e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.080e-01,2.546e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.090e-01,2.578e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.100e-01,2.607e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.110e-01,2.636e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.120e-01,2.666e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.130e-01,2.695e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.140e-01,2.722e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.150e-01,2.752e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.160e-01,2.776e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.170e-01,2.805e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.180e-01,2.832e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.190e-01,2.859e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.200e-01,2.885e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.210e-01,2.910e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.220e-01,2.933e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.230e-01,2.958e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.240e-01,2.984e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.250e-01,3.008e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.260e-01,3.033e-02
1.270e-01,3.054e-02
1.270e-01,3.054e-02
1.270e-01,3.054e-02
1.270e-01,3.054e-02
1.270e-01,3.054e-02
1.270e-01,3.054e-02
1.270e-01,3.054e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.280e-01,3.079e-02
1.290e-01,3.103e-02
1.290e-01,3.103e-02
1.290e-01,3.103e-02
1.290e-01,3.103e-02
1.290e-01,3.103e-02
1.290e-01,3.103e-02
