# E_nu[MeV], flux[count/MeV/cm^2/s]
1.709999999999999964e+00, 1.675381925918438965e+12
1.719999999999999973e+00, 1.665740325177701660e+12
1.729999999999999982e+00, 1.656098724436964111e+12
1.739999999999999991e+00, 1.646457123696227051e+12
1.750000000000000000e+00, 1.636815522955489746e+12
1.760000000000000009e+00, 1.627173922214752441e+12
1.770000000000000018e+00, 1.617532321474014893e+12
1.780000000000000027e+00, 1.607890720733277588e+12
1.790000000000000036e+00, 1.598249119992540039e+12
1.800000000000000044e+00, 1.588607519251802979e+12
1.810000000000000053e+00, 1.578965918511065430e+12
1.820000000000000062e+00, 1.569324317770328125e+12
1.830000000000000071e+00, 1.559682717029590576e+12
1.840000000000000080e+00, 1.550041116288853516e+12
1.850000000000000089e+00, 1.540399515548115723e+12
1.860000000000000098e+00, 1.530757914807378174e+12
1.870000000000000107e+00, 1.521116314066640869e+12
1.880000000000000115e+00, 1.511474713325903564e+12
1.890000000000000124e+00, 1.501833112585166260e+12
1.900000000000000133e+00, 1.492191511844428711e+12
1.910000000000000142e+00, 1.482549911103691406e+12
1.919999999999999929e+00, 1.472908310362954346e+12
1.929999999999999938e+00, 1.463266709622217041e+12
1.939999999999999947e+00, 1.453625108881479736e+12
1.949999999999999956e+00, 1.443983508140742188e+12
1.959999999999999964e+00, 1.434341907400004883e+12
1.969999999999999973e+00, 1.424700306659267578e+12
1.979999999999999982e+00, 1.415058705918530029e+12
1.989999999999999991e+00, 1.405417105177792725e+12
2.000000000000000000e+00, 1.395775504437055420e+12
2.009999999999999787e+00, 1.388139542195785889e+12
2.020000000000000018e+00, 1.380520092381805420e+12
2.029999999999999805e+00, 1.372917343955711182e+12
2.040000000000000036e+00, 1.365331483906254883e+12
2.049999999999999822e+00, 1.357762697247537842e+12
2.060000000000000053e+00, 1.350211167016394043e+12
2.069999999999999840e+00, 1.342677074269979736e+12
2.080000000000000071e+00, 1.335160598083553711e+12
2.089999999999999858e+00, 1.327661915548457275e+12
2.100000000000000089e+00, 1.320181201770284424e+12
2.109999999999999876e+00, 1.312718629867252197e+12
2.120000000000000107e+00, 1.305274370968756348e+12
2.129999999999999893e+00, 1.297848594214126953e+12
2.140000000000000124e+00, 1.290441466751567871e+12
2.149999999999999911e+00, 1.283053153737292480e+12
2.160000000000000142e+00, 1.275683818334843262e+12
2.169999999999999929e+00, 1.268333621714604248e+12
2.180000000000000160e+00, 1.261002723053495361e+12
2.189999999999999947e+00, 1.253691279534857666e+12
2.200000000000000178e+00, 1.246399446348520752e+12
2.209999999999999964e+00, 1.239127376691052490e+12
2.220000000000000195e+00, 1.231875221766196533e+12
2.229999999999999982e+00, 1.224643130785485840e+12
2.240000000000000213e+00, 1.217431250969038818e+12
2.250000000000000000e+00, 1.210239727546538086e+12
2.259999999999999787e+00, 1.203068703758378906e+12
2.270000000000000018e+00, 1.195918320857003662e+12
2.280000000000000249e+00, 1.188788718108406494e+12
2.290000000000000036e+00, 1.181680032793815186e+12
2.299999999999999822e+00, 1.174592400211541504e+12
2.310000000000000053e+00, 1.167525953679009521e+12
2.319999999999999840e+00, 1.160480824534953125e+12
2.330000000000000071e+00, 1.153457142141777588e+12
2.339999999999999858e+00, 1.146455033888097900e+12
2.350000000000000089e+00, 1.139474625191435547e+12
2.359999999999999876e+00, 1.132516039501087158e+12
2.370000000000000107e+00, 1.125579398301152588e+12
2.379999999999999893e+00, 1.118664821113729492e+12
2.390000000000000124e+00, 1.111772425502265625e+12
2.399999999999999911e+00, 1.104902327075075439e+12
2.410000000000000142e+00, 1.098054639489010132e+12
2.419999999999999929e+00, 1.091229474453290161e+12
2.430000000000000160e+00, 1.084426941733489624e+12
2.439999999999999947e+00, 1.077647149155677002e+12
2.450000000000000178e+00, 1.070890202610707642e+12
2.459999999999999964e+00, 1.064156206058670410e+12
2.470000000000000195e+00, 1.057445261533478516e+12
2.479999999999999982e+00, 1.050757469147617432e+12
2.490000000000000213e+00, 1.044092927097031372e+12
2.500000000000000000e+00, 1.037451731666161987e+12
2.509999999999999787e+00, 1.030833977233125977e+12
2.520000000000000018e+00, 1.024239756275039551e+12
2.530000000000000249e+00, 1.017669159373482056e+12
2.540000000000000036e+00, 1.011122275220098511e+12
2.549999999999999822e+00, 1.004599190622340942e+12
2.560000000000000053e+00, 9.980999905093469238e+11
2.570000000000000284e+00, 9.916247579379520264e+11
2.580000000000000071e+00, 9.851735740988364258e+11
2.589999999999999858e+00, 9.787465183228023682e+11
2.600000000000000089e+00, 9.723436680871813965e+11
2.609999999999999876e+00, 9.659650990223756104e+11
2.620000000000000107e+00, 9.596108849185159912e+11
2.629999999999999893e+00, 9.532810977322569580e+11
2.640000000000000124e+00, 9.469758075936866455e+11
2.649999999999999911e+00, 9.406950828133654785e+11
2.660000000000000142e+00, 9.344389898894814453e+11
2.669999999999999929e+00, 9.282075935151253662e+11
2.680000000000000160e+00, 9.220009565856857910e+11
2.689999999999999947e+00, 9.158191402063579102e+11
2.700000000000000178e+00, 9.096622036997659912e+11
2.709999999999999964e+00, 9.035302046137010498e+11
2.719999999999999751e+00, 8.974231987289671631e+11
2.729999999999999982e+00, 8.913412400673389893e+11
2.740000000000000213e+00, 8.852843808996254883e+11
2.750000000000000000e+00, 8.792526717538414307e+11
2.759999999999999787e+00, 8.732461614234810791e+11
2.770000000000000018e+00, 8.672648969758972168e+11
2.780000000000000249e+00, 8.613089237607803955e+11
2.790000000000000036e+00, 8.553782854187377930e+11
2.799999999999999822e+00, 8.494730238899689941e+11
2.810000000000000053e+00, 8.435931794230390625e+11
2.820000000000000284e+00, 8.377387905837476807e+11
2.830000000000000071e+00, 8.319098942640880127e+11
2.839999999999999858e+00, 8.261065256912991943e+11
2.850000000000000089e+00, 8.203287184370079346e+11
2.859999999999999876e+00, 8.145765044264584961e+11
2.870000000000000107e+00, 8.088499139478281250e+11
